Дата;Цена
14.05.2018;150.98
11.05.2018;150.70
10.05.2018;146.38
08.05.2018;145.48
07.05.2018;144.05
04.05.2018;143.73
03.05.2018;142.70
02.05.2018;144.94
30.04.2018;145.93
28.04.2018;144.30
27.04.2018;144.50
26.04.2018;145.48
25.04.2018;142.70
24.04.2018;144.14
23.04.2018;143.99
20.04.2018;144.40
19.04.2018;143.40
18.04.2018;144.75
17.04.2018;142.40
16.04.2018;141.50
13.04.2018;142.58
12.04.2018;145.99
11.04.2018;145.27
10.04.2018;141.80
09.04.2018;135.01
06.04.2018;141.50
05.04.2018;140.50
04.04.2018;140.18
03.04.2018;141.13
02.04.2018;140.32
30.03.2018;142.33
29.03.2018;142.80
28.03.2018;140.47
27.03.2018;140.80
26.03.2018;138.27
23.03.2018;142.00
22.03.2018;139.50
21.03.2018;141.51
20.03.2018;142.45
19.03.2018;139.91
16.03.2018;141.00
15.03.2018;138.25
14.03.2018;138.80
13.03.2018;142.75
12.03.2018;141.35
09.03.2018;139.81
07.03.2018;138.56
06.03.2018;140.59
05.03.2018;141.60
02.03.2018;138.57
01.03.2018;140.10
28.02.2018;143.16
27.02.2018;146.50
26.02.2018;147.00
22.02.2018;145.97
21.02.2018;144.00
20.02.2018;141.32
19.02.2018;138.31
16.02.2018;137.06
15.02.2018;137.06
14.02.2018;138.89
13.02.2018;139.85
12.02.2018;137.30
09.02.2018;135.56
08.02.2018;137.20
07.02.2018;141.00
06.02.2018;141.59
05.02.2018;144.53
02.02.2018;144.00
01.02.2018;145.39
31.01.2018;143.36
30.01.2018;143.50
29.01.2018;144.75
26.01.2018;147.19
25.01.2018;149.80
24.01.2018;149.70
23.01.2018;148.80
22.01.2018;150.30
19.01.2018;149.13
18.01.2018;150.35
17.01.2018;148.70
16.01.2018;145.29
15.01.2018;142.99
12.01.2018;143.99
11.01.2018;144.58
10.01.2018;143.43
09.01.2018;140.00
05.01.2018;137.12
04.01.2018;135.89
03.01.2018;132.20
29.12.2017;130.50
28.12.2017;130.53
27.12.2017;130.99
26.12.2017;131.20
25.12.2017;131.96
22.12.2017;132.42
21.12.2017;131.70
20.12.2017;132.50
19.12.2017;133.96
18.12.2017;134.25
15.12.2017;135.50
14.12.2017;135.91
13.12.2017;135.56
12.12.2017;135.50
11.12.2017;134.65
08.12.2017;132.60
07.12.2017;133.02
06.12.2017;134.00
05.12.2017;133.65
04.12.2017;133.77
01.12.2017;133.02
30.11.2017;132.15
29.11.2017;133.55
28.11.2017;135.18
27.11.2017;133.50
24.11.2017;133.57
23.11.2017;131.60
22.11.2017;132.57
21.11.2017;132.49
20.11.2017;129.96
17.11.2017;129.65
16.11.2017;129.20
15.11.2017;131.21
14.11.2017;132.93
13.11.2017;133.32
10.11.2017;132.50
09.11.2017;131.50
08.11.2017;132.30
07.11.2017;132.28
03.11.2017;125.90
02.11.2017;125.67
01.11.2017;126.50
31.10.2017;125.90
30.10.2017;125.98
27.10.2017;125.94
26.10.2017;124.20
25.10.2017;125.00
24.10.2017;126.02
23.10.2017;126.80
20.10.2017;126.70
19.10.2017;125.50
18.10.2017;126.70
17.10.2017;125.15
16.10.2017;127.17
13.10.2017;126.86
12.10.2017;125.93
11.10.2017;126.00
10.10.2017;124.44
09.10.2017;124.81
06.10.2017;123.47
05.10.2017;123.50
04.10.2017;121.76
03.10.2017;120.78
02.10.2017;121.90
29.09.2017;122.20
28.09.2017;122.50
27.09.2017;123.36
26.09.2017;123.03
25.09.2017;123.03
22.09.2017;121.95
21.09.2017;122.34
20.09.2017;122.25
19.09.2017;121.75
18.09.2017;122.72
